"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
6/20/2020,23188,151,2340
6/20/2020,23192,15,355
6/20/2020,23219,29,682
6/20/2020,23220,91,2107
6/20/2020,23221,42,944
6/20/2020,23222,146,1991
6/20/2020,23223,379,4423
6/20/2020,23224,823,5023
6/20/2020,23225,440,3929
6/20/2020,23226,217,4126
6/20/2020,23227,159,2286
6/20/2020,23228,280,2583
6/20/2020,23229,235,2411
6/20/2020,23230,57,2816
6/20/2020,23231,169,2591
6/20/2020,23233,144,1838
6/20/2020,23234,920,4393
6/20/2020,23235,225,2594
6/20/2020,23236,134,1926
6/20/2020,23237,322,2168
6/20/2020,23238,271,1894
6/20/2020,23250,0,3
6/20/2020,23294,141,1236
6/20/2020,23301,104,251
6/20/2020,23302,Suppressed*,16
6/20/2020,23303,19,114
6/20/2020,23304,Suppressed*,12
6/20/2020,23306,27,116
6/20/2020,23307,16,61
6/20/2020,23308,51,211
6/20/2020,23310,31,221
6/20/2020,23313,Suppressed*,9
6/20/2020,23314,16,351
6/20/2020,23315,Suppressed*,64
6/20/2020,23316,14,77
6/20/2020,23320,229,5120
6/20/2020,23321,76,1739
6/20/2020,23322,124,1965
6/20/2020,23323,120,1624
6/20/2020,23324,109,1011
6/20/2020,23325,63,844
6/20/2020,23336,10,133
6/20/2020,23337,0,19
6/20/2020,23347,18,66
6/20/2020,23350,74,309
6/20/2020,23354,15,43
6/20/2020,23356,Suppressed*,77
6/20/2020,23357,42,99
6/20/2020,23358,0,4
6/20/2020,23359,14,52
6/20/2020,23389,Suppressed*,7
6/20/2020,23395,17,72
6/20/2020,23398,5,19
6/20/2020,23401,6,31
6/20/2020,23405,10,57
6/20/2020,23407,61,145
6/20/2020,23408,Suppressed*,8
6/20/2020,23409,Suppressed*,9
6/20/2020,23410,65,241
6/20/2020,23413,81,293
6/20/2020,23414,33,81
6/20/2020,23415,38,218
6/20/2020,23416,12,93
6/20/2020,23417,85,313
6/20/2020,23418,67,172
6/20/2020,23420,87,274
6/20/2020,23421,178,814
6/20/2020,23422,7,33
6/20/2020,23423,Suppressed*,15
6/20/2020,23426,5,13
6/20/2020,23427,5,17
6/20/2020,23430,49,714
6/20/2020,23432,7,61
6/20/2020,23433,0,54
6/20/2020,23434,204,3528
6/20/2020,23435,133,1629
6/20/2020,23436,0,37
6/20/2020,23437,6,230
6/20/2020,23438,Suppressed*,110
6/20/2020,23440,0,7
6/20/2020,23441,36,77
6/20/2020,23442,27,169
6/20/2020,23451,72,2400
6/20/2020,23452,143,3196
6/20/2020,23453,63,1557
6/20/2020,23454,139,2933
6/20/2020,23455,74,2386
6/20/2020,23456,109,2601
6/20/2020,23457,8,175
6/20/2020,23459,17,118
6/20/2020,23460,Suppressed*,31
6/20/2020,23461,Suppressed*,56
6/20/2020,23462,193,3722
6/20/2020,23464,127,3182
6/20/2020,23480,Suppressed*,23
6/20/2020,23486,Suppressed*,8
6/20/2020,23487,72,352
6/20/2020,23488,8,33
6/20/2020,23502,69,1802
6/20/2020,23503,94,1305
6/20/2020,23504,83,1532
6/20/2020,23505,60,1826
6/20/2020,23507,18,985
6/20/2020,23508,41,673
6/20/2020,23509,47,1657
6/20/2020,23510,51,769
6/20/2020,23511,9,366
6/20/2020,23513,90,1495
6/20/2020,23517,21,254
6/20/2020,23518,83,1506
6/20/2020,23523,24,363
6/20/2020,23551,0,6
6/20/2020,23601,39,2004
6/20/2020,23602,81,1480
6/20/2020,23603,Suppressed*,109
6/20/2020,23604,Suppressed*,50
6/20/2020,23605,38,557
6/20/2020,23606,74,1095
6/20/2020,23607,44,848
6/20/2020,23608,139,1778
6/20/2020,23651,Suppressed*,21
6/20/2020,23661,24,551
6/20/2020,23662,15,459
6/20/2020,23663,15,429
6/20/2020,23664,10,368
6/20/2020,23665,5,73
6/20/2020,23666,117,2092
6/20/2020,23669,78,2194
6/20/2020,23690,0,118
6/20/2020,23691,0,12
6/20/2020,23692,33,640
6/20/2020,23693,19,651
6/20/2020,23696,0,102
6/20/2020,23701,148,1677
6/20/2020,23702,32,522
6/20/2020,23703,89,1608
6/20/2020,23704,78,1249
6/20/2020,23707,46,747
6/20/2020,23708,5,345
6/20/2020,23709,0,130
6/20/2020,23801,14,210
6/20/2020,23803,207,2674
6/20/2020,23805,100,2297
6/20/2020,23806,0,9
6/20/2020,23821,Suppressed*,147
6/20/2020,23824,21,453
6/20/2020,23827,Suppressed*,66
6/20/2020,23828,Suppressed*,24
6/20/2020,23829,81,800
6/20/2020,23830,7,106
6/20/2020,23831,200,2364
6/20/2020,23832,310,2826
6/20/2020,23833,11,111
6/20/2020,23834,179,2050
6/20/2020,23836,67,812
6/20/2020,23837,53,214
6/20/2020,23838,44,873
6/20/2020,23839,Suppressed*,46
6/20/2020,23840,Suppressed*,102
6/20/2020,23841,19,238
6/20/2020,23842,21,380
6/20/2020,23843,Suppressed*,27
6/20/2020,23844,Suppressed*,27
6/20/2020,23845,0,22
6/20/2020,23846,Suppressed*,39
6/20/2020,23847,378,1103
6/20/2020,23850,Suppressed*,72
6/20/2020,23851,43,1330
6/20/2020,23856,8,47
6/20/2020,23857,Suppressed*,41
6/20/2020,23860,237,2580
6/20/2020,23866,7,107
6/20/2020,23867,31,167
6/20/2020,23868,65,407
6/20/2020,23872,9,137
6/20/2020,23874,0,67
6/20/2020,23875,46,742
6/20/2020,23876,0,11
6/20/2020,23878,Suppressed*,67
6/20/2020,23879,10,38
6/20/2020,23881,5,100
6/20/2020,23882,11,132
6/20/2020,23883,5,94
6/20/2020,23884,Suppressed*,0
6/20/2020,23885,5,152
6/20/2020,23887,Suppressed*,16
6/20/2020,23888,10,114
6/20/2020,23889,Suppressed*,43
6/20/2020,23890,86,297
6/20/2020,23891,67,158
6/20/2020,23893,Suppressed*,21
6/20/2020,23894,Suppressed*,39
6/20/2020,23897,Suppressed*,33
6/20/2020,23898,9,95
6/20/2020,23899,Suppressed*,24
6/20/2020,23901,119,1123
6/20/2020,23915,5,68
6/20/2020,23917,12,225
6/20/2020,23919,5,181
6/20/2020,23920,6,208
6/20/2020,23921,10,135
6/20/2020,23922,41,1980
6/20/2020,23923,8,142
6/20/2020,23924,97,494
6/20/2020,23927,67,386
6/20/2020,23930,21,384
6/20/2020,23934,Suppressed*,53
6/20/2020,23936,504,610
6/20/2020,23937,6,139
6/20/2020,23938,0,35
6/20/2020,23942,12,102
6/20/2020,23943,0,6
6/20/2020,23944,Suppressed*,257
6/20/2020,23947,8,255
6/20/2020,23950,14,245
6/20/2020,23952,0,24
6/20/2020,23954,Suppressed*,138
6/20/2020,23958,18,224
6/20/2020,23959,0,62
6/20/2020,23960,31,184
6/20/2020,23962,Suppressed*,50
6/20/2020,23963,0,14
6/20/2020,23964,0,73
6/20/2020,23966,10,171
6/20/2020,23967,Suppressed*,57
6/20/2020,23968,Suppressed*,61
6/20/2020,23970,20,632
6/20/2020,23974,10,311
6/20/2020,23976,Suppressed*,24
6/20/2020,24011,0,11516
6/20/2020,24012,155,666
6/20/2020,24013,21,113
6/20/2020,24014,61,371
6/20/2020,24015,28,207
6/20/2020,24016,13,180
6/20/2020,24017,37,519
6/20/2020,24018,56,670
6/20/2020,24019,55,512
6/20/2020,24053,Suppressed*,63
6/20/2020,24054,40,257
6/20/2020,24055,46,482
6/20/2020,24058,0,9
6/20/2020,24059,0,14
6/20/2020,24060,55,827
6/20/2020,24064,Suppressed*,66
6/20/2020,24065,Suppressed*,71
6/20/2020,24066,Suppressed*,40
6/20/2020,24067,Suppressed*,28
6/20/2020,24069,9,82
6/20/2020,24070,Suppressed*,37
6/20/2020,24072,0,26
6/20/2020,24073,35,1532
6/20/2020,24076,Suppressed*,34
6/20/2020,24077,Suppressed*,12
6/20/2020,24078,47,333
6/20/2020,24079,Suppressed*,28
6/20/2020,24082,0,12
6/20/2020,24083,11,58
6/20/2020,24084,15,363
6/20/2020,24085,9,29
6/20/2020,24087,6,96
6/20/2020,24088,0,48
6/20/2020,24089,5,85
6/20/2020,24090,12,41
6/20/2020,24091,7,121
6/20/2020,24092,Suppressed*,41
6/20/2020,24093,0,2
6/20/2020,24095,5,64
6/20/2020,24101,Suppressed*,85
6/20/2020,24102,0,20
6/20/2020,24104,Suppressed*,147
6/20/2020,24105,Suppressed*,6
6/20/2020,24112,123,1771
6/20/2020,24120,Suppressed*,28
6/20/2020,24121,5,272
6/20/2020,24122,Suppressed*,33
6/20/2020,24124,Suppressed*,71
6/20/2020,24127,5,120
6/20/2020,24128,Suppressed*,30
6/20/2020,24131,0,1
6/20/2020,24132,0,10
6/20/2020,24133,Suppressed*,76
6/20/2020,24134,Suppressed*,179
6/20/2020,24136,0,42
6/20/2020,24137,Suppressed*,40
6/20/2020,24138,Suppressed*,41
6/20/2020,24139,8,36
6/20/2020,24141,14,358
6/20/2020,24142,0,4
6/20/2020,24147,Suppressed*,17
6/20/2020,24148,28,282
6/20/2020,24149,0,58
6/20/2020,24150,Suppressed*,9
6/20/2020,24151,23,575
6/20/2020,24153,88,3117
6/20/2020,24161,0,14
6/20/2020,24162,8,71
6/20/2020,24165,Suppressed*,63
6/20/2020,24167,0,5
6/20/2020,24168,5,41
6/20/2020,24171,26,213
6/20/2020,24174,Suppressed*,79
6/20/2020,24175,5,77
6/20/2020,24176,Suppressed*,33
6/20/2020,24179,38,275
6/20/2020,24184,6,52
6/20/2020,24185,0,19
6/20/2020,24201,Suppressed*,583
6/20/2020,24202,9,357
6/20/2020,24210,23,563
6/20/2020,24211,10,608
6/20/2020,24216,10,99
6/20/2020,24217,0,6
6/20/2020,24219,9,621
6/20/2020,24220,0,17
6/20/2020,24221,0,11
6/20/2020,24224,6,102
6/20/2020,24225,0,38
6/20/2020,24226,0,36
6/20/2020,24228,Suppressed*,153
6/20/2020,24230,0,152
6/20/2020,24236,5,54
6/20/2020,24237,0,14
6/20/2020,24239,0,8
6/20/2020,24243,0,70
6/20/2020,24244,Suppressed*,306
6/20/2020,24245,0,31
6/20/2020,24246,0,12
6/20/2020,24248,Suppressed*,73
6/20/2020,24250,0,25
6/20/2020,24251,Suppressed*,277
6/20/2020,24256,0,65
6/20/2020,24258,0,36
6/20/2020,24260,0,112
6/20/2020,24263,Suppressed*,204
6/20/2020,24265,0,17
6/20/2020,24266,Suppressed*,259
6/20/2020,24269,0,8
6/20/2020,24270,Suppressed*,12
6/20/2020,24271,0,83
6/20/2020,24272,0,9
6/20/2020,24273,Suppressed*,393
6/20/2020,24277,Suppressed*,168
6/20/2020,24279,Suppressed*,72
6/20/2020,24280,0,15
6/20/2020,24281,0,68
6/20/2020,24282,0,19
6/20/2020,24283,0,71
6/20/2020,24290,0,53
6/20/2020,24292,0,14
6/20/2020,24293,5,280
6/20/2020,24301,13,559
6/20/2020,24311,0,39
6/20/2020,24312,Suppressed*,58
6/20/2020,24313,Suppressed*,23
6/20/2020,24314,0,47
6/20/2020,24315,Suppressed*,82
6/20/2020,24316,0,2
6/20/2020,24317,10,133
6/20/2020,24318,0,13
6/20/2020,24319,6,122
6/20/2020,24322,0,6
6/20/2020,24323,Suppressed*,18
6/20/2020,24324,0,67
6/20/2020,24325,Suppressed*,22
6/20/2020,24326,6,34
6/20/2020,24328,Suppressed*,47
6/20/2020,24330,35,160
6/20/2020,24333,301,1144
6/20/2020,24340,9,120
6/20/2020,24343,86,406
6/20/2020,24347,Suppressed*,51
6/20/2020,24348,9,162
6/20/2020,24350,Suppressed*,29
6/20/2020,24351,0,12
6/20/2020,24352,Suppressed*,30
6/20/2020,24354,20,428
6/20/2020,24360,10,188
6/20/2020,24361,Suppressed*,112
6/20/2020,24363,Suppressed*,22
6/20/2020,24366,Suppressed*,28
6/20/2020,24368,Suppressed*,127
6/20/2020,24370,Suppressed*,123
6/20/2020,24374,0,25
6/20/2020,24375,0,17
6/20/2020,24377,0,4
6/20/2020,24378,Suppressed*,24
6/20/2020,24380,Suppressed*,39
6/20/2020,24381,18,116
6/20/2020,24382,19,511
6/20/2020,24401,82,1525
6/20/2020,24411,0,2
6/20/2020,24412,0,1
6/20/2020,24413,0,7
6/20/2020,24415,0,1
6/20/2020,24416,12,127
6/20/2020,24421,Suppressed*,107
6/20/2020,24422,9,212
6/20/2020,24426,19,473
6/20/2020,24430,Suppressed*,104
6/20/2020,24431,7,122
6/20/2020,24432,Suppressed*,13
