"Event Date","Health Planning Region","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths"
04/27/2020,Northwest,Confirmed,123,12,3
04/27/2020,Northwest,Probable,10,0,0
04/27/2020,Southwest,Confirmed,20,4,1
04/27/2020,Southwest,Probable,1,0,0
04/28/2020,Central,Confirmed,125,10,2
04/28/2020,Eastern,Confirmed,78,12,3
04/28/2020,Eastern,Probable,4,0,0
04/28/2020,Northern,Confirmed,502,52,20
04/28/2020,Northern,Probable,24,0,2
04/28/2020,Northwest,Confirmed,132,10,2
04/28/2020,Northwest,Probable,12,0,0
04/28/2020,Southwest,Confirmed,11,2,2
04/28/2020,Southwest,Probable,1,0,0
04/29/2020,Central,Confirmed,200,3,7
04/29/2020,Central,Probable,3,0,1
04/29/2020,Eastern,Confirmed,76,15,6
04/29/2020,Eastern,Probable,5,0,0
04/29/2020,Northern,Confirmed,477,63,18
04/29/2020,Northern,Probable,20,0,3
04/29/2020,Northwest,Confirmed,91,4,4
04/29/2020,Northwest,Probable,12,0,0
04/29/2020,Southwest,Confirmed,29,3,1
04/30/2020,Central,Confirmed,105,5,6
04/30/2020,Central,Probable,2,0,2
04/30/2020,Eastern,Confirmed,146,13,6
04/30/2020,Eastern,Probable,6,0,0
04/30/2020,Northern,Confirmed,536,61,21
04/30/2020,Northern,Probable,36,0,4
04/30/2020,Northwest,Confirmed,92,7,3
04/30/2020,Northwest,Probable,13,0,0
04/30/2020,Southwest,Confirmed,23,3,4
04/30/2020,Southwest,Probable,1,0,0
05/01/2020,Central,Confirmed,186,14,3
05/01/2020,Eastern,Confirmed,117,15,4
05/01/2020,Eastern,Probable,3,0,0
05/01/2020,Northern,Confirmed,740,73,16
05/01/2020,Northern,Probable,36,0,0
05/01/2020,Northwest,Confirmed,133,14,3
05/01/2020,Northwest,Probable,17,0,1
05/01/2020,Southwest,Confirmed,35,3,3
05/01/2020,Southwest,Probable,1,0,0
05/02/2020,Central,Confirmed,99,10,7
05/02/2020,Central,Probable,2,0,0
05/02/2020,Eastern,Confirmed,81,8,7
05/02/2020,Eastern,Probable,2,0,1
05/02/2020,Northern,Confirmed,415,57,25
05/02/2020,Northern,Probable,17,3,2
05/02/2020,Northwest,Confirmed,121,6,4
05/02/2020,Northwest,Probable,15,0,0
05/02/2020,Southwest,Confirmed,16,4,0
05/03/2020,Central,Confirmed,93,13,2
05/03/2020,Central,Probable,0,0,1
05/03/2020,Eastern,Confirmed,40,9,4
