"Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations"
2020-10-18,Richmond,"Not Reported",49,1
2020-10-18,Pittsylvania-Danville,Male,1037,68
2020-10-18,Portsmouth,"Not Reported",3,0
2020-10-18,Norfolk,"Not Reported",3,0
2020-10-18,Chesapeake,Male,2147,222
2020-10-18,Chickahominy,Female,1102,87
2020-10-18,"Prince William",Male,7862,649
2020-10-18,"Eastern Shore","Not Reported",9,0
2020-10-18,"Eastern Shore",Male,743,70
2020-10-18,"Rappahannock Rapidan",Male,1392,108
2020-10-18,Henrico,"Not Reported",39,0
2020-10-18,"Cumberland Plateau",Female,639,38
2020-10-18,"West Piedmont",Male,1151,128
2020-10-18,Hampton,"Not Reported",7,0
2020-10-18,Alexandria,"Not Reported",13,0
2020-10-18,"Western Tidewater","Not Reported",4,0
2020-10-18,"Cumberland Plateau","Not Reported",9,0
2020-10-18,"Virginia Beach",Male,3425,202
2020-10-18,Alleghany,Female,1207,48
2020-10-18,Lenowisco,Female,648,43
2020-10-18,"Virginia Beach","Not Reported",15,0
2020-10-18,"Western Tidewater",Female,2103,103
2020-10-18,"Mount Rogers",Male,1443,160
2020-10-18,"Lord Fairfax",Female,1920,147
2020-10-18,Piedmont,"Not Reported",5,0
2020-10-18,Alexandria,Male,1973,180
2020-10-18,Pittsylvania-Danville,"Not Reported",6,0
2020-10-18,"West Piedmont","Not Reported",14,0
2020-10-18,Loudoun,Female,3807,213
2020-10-18,Hampton,Female,1116,32
2020-10-18,Henrico,Female,3151,239
2020-10-18,"Prince William","Not Reported",127,2
2020-10-18,Chickahominy,Male,1061,88
2020-10-18,"Rappahannock Rapidan","Not Reported",37,0
2020-10-18,Peninsula,Female,2514,103
2020-10-18,Lenowisco,"Not Reported",2,0
2020-10-18,Crater,"Not Reported",47,3
2020-10-18,Chickahominy,"Not Reported",35,1
2020-10-18,Portsmouth,Male,1293,126
2020-10-18,"New River",Female,1973,28
2020-10-18,Rappahannock,Female,3090,193
2020-10-18,"Central Virginia",Female,2282,76
2020-10-18,Roanoke,"Not Reported",18,0
2020-10-18,"West Piedmont",Female,1493,146
2020-10-18,"Mount Rogers",Female,1919,131
2020-10-18,Piedmont,Male,1473,87
2020-10-18,Chesterfield,Female,3678,215
2020-10-18,Fairfax,Male,11029,1285
2020-10-18,Crater,Male,2798,133
2020-10-18,"Central Virginia","Not Reported",42,0
2020-10-18,"Prince William",Female,8209,504
2020-10-18,"Virginia Beach",Female,4097,215
2020-10-18,Norfolk,Female,2685,200
2020-10-18,"Three Rivers",Female,957,65
2020-10-18,Arlington,Male,2202,287
2020-10-18,"Central Shenandoah",Female,3430,150
2020-10-18,Southside,Female,817,43
2020-10-19,Southside,"Not Reported",9,0
2020-10-19,Chesapeake,Female,2586,237
2020-10-19,Richmond,Female,2571,223
2020-10-19,Roanoke,Male,1042,38
2020-10-19,Fairfax,"Not Reported",162,1
2020-10-19,"Thomas Jefferson",Female,2199,104
2020-10-19,Chesapeake,"Not Reported",5,0
2020-10-19,"Cumberland Plateau",Male,533,37
2020-10-19,"Eastern Shore",Female,761,73
2020-10-19,"Lord Fairfax","Not Reported",17,0
2020-10-19,Rappahannock,"Not Reported",22,0
2020-10-19,"Central Shenandoah","Not Reported",19,0
2020-10-19,Peninsula,Male,2348,110
2020-10-19,Norfolk,Male,2491,196
2020-10-19,Alexandria,Female,2132,143
2020-10-19,Lenowisco,Male,582,53
2020-10-19,Pittsylvania-Danville,Female,1303,107
2020-10-19,"New River","Not Reported",35,0
2020-10-19,Chesterfield,"Not Reported",145,0
2020-10-19,Loudoun,Male,3695,255
2020-10-19,"Rappahannock Rapidan",Female,1456,76
2020-10-19,Piedmont,Female,881,60
2020-10-19,Richmond,Male,2489,217
2020-10-19,Crater,Female,1964,155
2020-10-19,Portsmouth,Female,1428,168
2020-10-19,Arlington,"Not Reported",3,0
2020-10-19,"Mount Rogers","Not Reported",12,0
2020-10-19,"Thomas Jefferson","Not Reported",3,0
2020-10-19,"Three Rivers","Not Reported",29,0
2020-10-19,Hampton,Male,913,54
2020-10-19,Alleghany,Male,1001,52
2020-10-19,Roanoke,Female,1325,51
2020-10-19,Loudoun,"Not Reported",65,0
2020-10-19,Fairfax,Female,11689,952
2020-10-19,"Western Tidewater",Male,2334,117
2020-10-19,Peninsula,"Not Reported",19,0
2020-10-19,"New River",Male,1984,44
2020-10-19,"Central Shenandoah",Male,3008,141
2020-10-19,Southside,Male,885,47
2020-10-19,Chesterfield,Male,3431,224
2020-10-19,Arlington,Female,2171,232
2020-10-19,Rappahannock,Male,2704,228
2020-10-19,"Central Virginia",Male,1985,87
2020-10-19,Alleghany,"Not Reported",9,0
2020-10-19,Henrico,Male,2780,233
2020-10-19,"Thomas Jefferson",Male,1972,106
2020-10-19,"Lord Fairfax",Male,1720,159
2020-10-19,"Three Rivers",Male,1170,68
2020-10-19,Richmond,"Not Reported",49,1
2020-10-19,Pittsylvania-Danville,Male,1037,68
2020-10-19,Portsmouth,"Not Reported",3,0
2020-10-19,Norfolk,"Not Reported",3,0
2020-10-19,Chesapeake,Male,2157,223
2020-10-19,Chickahominy,Female,1108,88
2020-10-19,"Prince William",Male,7878,649
2020-10-19,"Eastern Shore","Not Reported",9,0
2020-10-19,"Eastern Shore",Male,744,70
2020-10-19,"Rappahannock Rapidan",Male,1422,108
2020-10-19,Henrico,"Not Reported",39,0
2020-10-19,"Cumberland Plateau",Female,642,39
2020-10-19,"West Piedmont",Male,1158,130
2020-10-19,Hampton,"Not Reported",7,0
2020-10-19,Alexandria,"Not Reported",13,0
2020-10-19,"Western Tidewater","Not Reported",4,0
2020-10-19,"Cumberland Plateau","Not Reported",9,0
2020-10-19,"Virginia Beach",Male,3431,202
2020-10-19,Alleghany,Female,1218,48
2020-10-19,Lenowisco,Female,658,43
2020-10-19,"Virginia Beach","Not Reported",15,0
2020-10-19,"Western Tidewater",Female,2106,103
2020-10-19,"Mount Rogers",Male,1463,162
2020-10-19,"Lord Fairfax",Female,1937,148
2020-10-19,Piedmont,"Not Reported",5,0
2020-10-19,Alexandria,Male,1978,180
2020-10-19,Pittsylvania-Danville,"Not Reported",6,0
2020-10-19,"West Piedmont","Not Reported",14,0
2020-10-19,Loudoun,Female,3816,213
2020-10-19,Hampton,Female,1119,32
2020-10-19,Henrico,Female,3151,239
2020-10-19,"Prince William","Not Reported",127,2
2020-10-19,Chickahominy,Male,1065,88
2020-10-19,"Rappahannock Rapidan","Not Reported",37,0
2020-10-19,Peninsula,Female,2521,103
2020-10-19,Lenowisco,"Not Reported",2,0
2020-10-19,Crater,"Not Reported",49,3
2020-10-19,Chickahominy,"Not Reported",35,1
2020-10-19,Portsmouth,Male,1293,126
2020-10-19,"New River",Female,1987,28
2020-10-19,Rappahannock,Female,3103,193
2020-10-19,"Central Virginia",Female,2306,76
2020-10-19,Roanoke,"Not Reported",18,0
2020-10-19,"West Piedmont",Female,1498,146
2020-10-19,"Mount Rogers",Female,1927,133
2020-10-19,Piedmont,Male,1474,87
2020-10-19,Chesterfield,Female,3685,215
2020-10-19,Fairfax,Male,11065,1286
2020-10-19,Crater,Male,2826,134
2020-10-19,"Central Virginia","Not Reported",42,0
2020-10-19,"Prince William",Female,8252,506
2020-10-19,"Virginia Beach",Female,4107,216
2020-10-19,Norfolk,Female,2685,200
2020-10-19,"Three Rivers",Female,959,65
2020-10-19,Arlington,Male,2210,287
2020-10-19,"Central Shenandoah",Female,3445,150
2020-10-19,Southside,Female,824,43
2020-10-20,Southside,"Not Reported",9,0
2020-10-20,Chesapeake,Female,2594,239
2020-10-20,Richmond,Female,2578,224
2020-10-20,Roanoke,Male,1070,37
2020-10-20,Fairfax,"Not Reported",161,1
2020-10-20,"Thomas Jefferson",Female,2203,109
2020-10-20,Chesapeake,"Not Reported",5,0
2020-10-20,"Cumberland Plateau",Male,536,37
2020-10-20,"Eastern Shore",Female,762,73
2020-10-20,"Lord Fairfax","Not Reported",16,0
2020-10-20,Rappahannock,"Not Reported",20,0
2020-10-20,"Central Shenandoah","Not Reported",19,0
2020-10-20,Peninsula,Male,2364,111
2020-10-20,Norfolk,Male,2507,196
2020-10-20,Alexandria,Female,2139,143
2020-10-20,Lenowisco,Male,596,53
2020-10-20,Pittsylvania-Danville,Female,1308,107
2020-10-20,"New River","Not Reported",35,0
2020-10-20,Chesterfield,"Not Reported",143,0
2020-10-20,Loudoun,Male,3713,255
2020-10-20,"Rappahannock Rapidan",Female,1463,76
2020-10-20,Piedmont,Female,893,61
2020-10-20,Richmond,Male,2507,220
2020-10-20,Crater,Female,1982,157
2020-10-20,Portsmouth,Female,1432,168
2020-10-20,Arlington,"Not Reported",3,0
2020-10-20,"Mount Rogers","Not Reported",12,0
2020-10-20,"Thomas Jefferson","Not Reported",3,0
2020-10-20,"Three Rivers","Not Reported",25,0
2020-10-20,Hampton,Male,922,54
2020-10-20,Alleghany,Male,1025,53
2020-10-20,Roanoke,Female,1357,53
2020-10-20,Loudoun,"Not Reported",62,0
2020-10-20,Fairfax,Female,11741,953
2020-10-20,"Western Tidewater",Male,2349,119
2020-10-20,Peninsula,"Not Reported",19,0
2020-10-20,"New River",Male,2007,45
2020-10-20,"Central Shenandoah",Male,3018,141
2020-10-20,Southside,Male,885,47
2020-10-20,Chesterfield,Male,3455,227
2020-10-20,Arlington,Female,2180,233
2020-10-20,Rappahannock,Male,2718,228
2020-10-20,"Central Virginia",Male,2001,90
2020-10-20,Alleghany,"Not Reported",9,0
2020-10-20,Henrico,Male,2795,234
2020-10-20,"Thomas Jefferson",Male,1984,107
2020-10-20,"Lord Fairfax",Male,1740,161
2020-10-20,"Three Rivers",Male,1156,69
2020-10-20,Richmond,"Not Reported",49,1
2020-10-20,Pittsylvania-Danville,Male,1043,68
2020-10-20,Portsmouth,"Not Reported",3,0
2020-10-20,Norfolk,"Not Reported",3,0
2020-10-20,Chesapeake,Male,2164,225
2020-10-20,Chickahominy,Female,1117,88
2020-10-20,"Prince William",Male,7905,654
2020-10-20,"Eastern Shore","Not Reported",9,0
2020-10-20,"Eastern Shore",Male,745,71
2020-10-20,"Rappahannock Rapidan",Male,1436,109
2020-10-20,Henrico,"Not Reported",38,0
2020-10-20,"Cumberland Plateau",Female,649,40
2020-10-20,"West Piedmont",Male,1166,133
2020-10-20,Hampton,"Not Reported",7,0
2020-10-20,Alexandria,"Not Reported",13,0
2020-10-20,"Western Tidewater","Not Reported",5,0
2020-10-20,"Cumberland Plateau","Not Reported",10,0
2020-10-20,"Virginia Beach",Male,3455,203
2020-10-20,Alleghany,Female,1263,50
2020-10-20,Lenowisco,Female,670,44
2020-10-20,"Virginia Beach","Not Reported",15,0
2020-10-20,"Western Tidewater",Female,2114,107
2020-10-20,"Mount Rogers",Male,1471,162
2020-10-20,"Lord Fairfax",Female,1952,148
2020-10-20,Piedmont,"Not Reported",5,0
2020-10-20,Alexandria,Male,1981,181
2020-10-20,Pittsylvania-Danville,"Not Reported",6,0
2020-10-20,"West Piedmont","Not Reported",14,0
2020-10-20,Loudoun,Female,3824,215
2020-10-20,Hampton,Female,1129,32
2020-10-20,Henrico,Female,3173,239
2020-10-20,"Prince William","Not Reported",127,2
2020-10-20,Chickahominy,Male,1073,90
2020-10-20,"Rappahannock Rapidan","Not Reported",37,0
2020-10-20,Peninsula,Female,2534,103
2020-10-20,Lenowisco,"Not Reported",2,0
2020-10-20,Crater,"Not Reported",49,3
2020-10-20,Chickahominy,"Not Reported",31,1
2020-10-20,Portsmouth,Male,1295,126
2020-10-20,"New River",Female,1997,28
2020-10-20,Rappahannock,Female,3124,196
2020-10-20,"Central Virginia",Female,2337,76
2020-10-20,Roanoke,"Not Reported",18,0
2020-10-20,"West Piedmont",Female,1514,148
2020-10-20,"Mount Rogers",Female,1944,134
2020-10-20,Piedmont,Male,1484,87
2020-10-20,Chesterfield,Female,3709,215
2020-10-20,Fairfax,Male,11097,1285
2020-10-20,Crater,Male,2818,134
2020-10-20,"Central Virginia","Not Reported",44,0
2020-10-20,"Prince William",Female,8287,510
2020-10-20,"Virginia Beach",Female,4123,219
2020-10-20,Norfolk,Female,2699,202
2020-10-20,"Three Rivers",Female,961,65
2020-10-20,Arlington,Male,2216,287
2020-10-20,"Central Shenandoah",Female,3452,150
2020-10-20,Southside,Female,827,43
2020-10-21,Southside,"Not Reported",10,0
2020-10-21,Chesapeake,Female,2602,239
2020-10-21,Richmond,Female,2579,224
2020-10-21,Roanoke,Male,1087,38
2020-10-21,Fairfax,"Not Reported",157,1
2020-10-21,"Thomas Jefferson",Female,2226,109
2020-10-21,Chesapeake,"Not Reported",5,0
2020-10-21,"Cumberland Plateau",Male,550,38
2020-10-21,"Eastern Shore",Female,763,73
2020-10-21,"Lord Fairfax","Not Reported",16,0
2020-10-21,Rappahannock,"Not Reported",20,0
2020-10-21,"Central Shenandoah","Not Reported",20,0
2020-10-21,Peninsula,Male,2378,111
2020-10-21,Norfolk,Male,2514,199
2020-10-21,Alexandria,Female,2145,144
2020-10-21,Lenowisco,Male,613,56
2020-10-21,Pittsylvania-Danville,Female,1320,108
2020-10-21,"New River","Not Reported",35,0
2020-10-21,Chesterfield,"Not Reported",152,0
2020-10-21,Loudoun,Male,3733,255
2020-10-21,"Rappahannock Rapidan",Female,1471,76
2020-10-21,Piedmont,Female,897,61
2020-10-21,Richmond,Male,2514,220
2020-10-21,Crater,Female,1986,159
2020-10-21,Portsmouth,Female,1442,170
2020-10-21,Arlington,"Not Reported",3,0
2020-10-21,"Mount Rogers","Not Reported",12,0
2020-10-21,"Thomas Jefferson","Not Reported",3,0
2020-10-21,"Three Rivers","Not Reported",26,0
2020-10-21,Hampton,Male,924,54
2020-10-21,Alleghany,Male,1045,53
2020-10-21,Roanoke,Female,1373,52
2020-10-21,Loudoun,"Not Reported",61,0
2020-10-21,Fairfax,Female,11780,953
2020-10-21,"Western Tidewater",Male,2355,119
2020-10-21,Peninsula,"Not Reported",19,0
2020-10-21,"New River",Male,2024,45
2020-10-21,"Central Shenandoah",Male,3033,141
2020-10-21,Southside,Male,888,47
2020-10-21,Chesterfield,Male,3472,228
2020-10-21,Arlington,Female,2201,233
2020-10-21,Rappahannock,Male,2727,228
2020-10-21,"Central Virginia",Male,2030,91
2020-10-21,Alleghany,"Not Reported",9,0
2020-10-21,Henrico,Male,2818,236
2020-10-21,"Thomas Jefferson",Male,2000,107
2020-10-21,"Lord Fairfax",Male,1755,164
2020-10-21,"Three Rivers",Male,1166,70
2020-10-21,Richmond,"Not Reported",52,1
2020-10-21,Pittsylvania-Danville,Male,1052,68
2020-10-21,Portsmouth,"Not Reported",3,0
2020-10-21,Norfolk,"Not Reported",3,0
2020-10-21,Chesapeake,Male,2173,225
2020-10-21,Chickahominy,Female,1126,88
2020-10-21,"Prince William",Male,7939,654
2020-10-21,"Eastern Shore","Not Reported",9,0
2020-10-21,"Eastern Shore",Male,745,71
2020-10-21,"Rappahannock Rapidan",Male,1441,112
2020-10-21,Henrico,"Not Reported",41,0
2020-10-21,"Cumberland Plateau",Female,677,41
2020-10-21,"West Piedmont",Male,1182,134
2020-10-21,Hampton,"Not Reported",7,0
2020-10-21,Alexandria,"Not Reported",13,0
2020-10-21,"Western Tidewater","Not Reported",5,0
2020-10-21,"Cumberland Plateau","Not Reported",11,0
2020-10-21,"Virginia Beach",Male,3465,204
2020-10-21,Alleghany,Female,1286,53
2020-10-21,Lenowisco,Female,685,45
2020-10-21,"Virginia Beach","Not Reported",15,0
2020-10-21,"Western Tidewater",Female,2124,108
2020-10-21,"Mount Rogers",Male,1476,163
2020-10-21,"Lord Fairfax",Female,1970,149
2020-10-21,Piedmont,"Not Reported",5,0
2020-10-21,Alexandria,Male,1986,182
2020-10-21,Pittsylvania-Danville,"Not Reported",6,0
2020-10-21,"West Piedmont","Not Reported",14,0
2020-10-21,Loudoun,Female,3840,215
2020-10-21,Hampton,Female,1133,33
2020-10-21,Henrico,Female,3199,239
2020-10-21,"Prince William","Not Reported",127,2
2020-10-21,Chickahominy,Male,1081,93
2020-10-21,"Rappahannock Rapidan","Not Reported",39,0
2020-10-21,Peninsula,Female,2539,103
2020-10-21,Lenowisco,"Not Reported",2,0
2020-10-21,Crater,"Not Reported",49,3
2020-10-21,Chickahominy,"Not Reported",31,0
2020-10-21,Portsmouth,Male,1296,128
2020-10-21,"New River",Female,2020,30
2020-10-21,Rappahannock,Female,3139,197
2020-10-21,"Central Virginia",Female,2366,78
2020-10-21,Roanoke,"Not Reported",18,0
2020-10-21,"West Piedmont",Female,1540,150
2020-10-21,"Mount Rogers",Female,1959,134
2020-10-21,Piedmont,Male,1487,87
2020-10-21,Chesterfield,Female,3749,217
2020-10-21,Fairfax,Male,11144,1288
2020-10-21,Crater,Male,2824,134
2020-10-21,"Central Virginia","Not Reported",46,0
2020-10-21,"Prince William",Female,8321,510
2020-10-21,"Virginia Beach",Female,4142,220
2020-10-21,Norfolk,Female,2702,203
2020-10-21,"Three Rivers",Female,974,65
2020-10-21,Arlington,Male,2233,289
2020-10-21,"Central Shenandoah",Female,3471,149
2020-10-21,Southside,Female,831,43
2020-10-22,Southside,"Not Reported",10,0
2020-10-22,Chesapeake,Female,2618,240
2020-10-22,Richmond,Female,2591,224
2020-10-22,Roanoke,Male,1105,40
2020-10-22,Fairfax,"Not Reported",157,1
2020-10-22,"Thomas Jefferson",Female,2249,111
2020-10-22,Chesapeake,"Not Reported",5,0
2020-10-22,"Cumberland Plateau",Male,558,40
2020-10-22,"Eastern Shore",Female,764,73
2020-10-22,"Lord Fairfax","Not Reported",21,0
2020-10-22,Rappahannock,"Not Reported",20,0
2020-10-22,"Central Shenandoah","Not Reported",20,0
2020-10-22,Peninsula,Male,2390,113
2020-10-22,Norfolk,Male,2526,199
2020-10-22,Alexandria,Female,2158,144
2020-10-22,Lenowisco,Male,623,57
2020-10-22,Pittsylvania-Danville,Female,1332,108
2020-10-22,"New River","Not Reported",35,0
2020-10-22,Chesterfield,"Not Reported",152,0
2020-10-22,Loudoun,Male,3755,255
2020-10-22,"Rappahannock Rapidan",Female,1484,78
2020-10-22,Piedmont,Female,901,61
2020-10-22,Richmond,Male,2532,220
2020-10-22,Crater,Female,2003,160
2020-10-22,Portsmouth,Female,1454,171
2020-10-22,Arlington,"Not Reported",3,0
2020-10-22,"Mount Rogers","Not Reported",12,0
2020-10-22,"Thomas Jefferson","Not Reported",4,0
2020-10-22,"Three Rivers","Not Reported",26,0
2020-10-22,Hampton,Male,926,54
2020-10-22,Alleghany,Male,1073,54
2020-10-22,Roanoke,Female,1393,52
2020-10-22,Loudoun,"Not Reported",62,0
2020-10-22,Fairfax,Female,11870,955
2020-10-22,"Western Tidewater",Male,2358,118
2020-10-22,Peninsula,"Not Reported",19,0
2020-10-22,"New River",Male,2045,45
2020-10-22,"Central Shenandoah",Male,3047,141
2020-10-22,Southside,Male,893,47
2020-10-22,Chesterfield,Male,3504,228
2020-10-22,Arlington,Female,2213,234
2020-10-22,Rappahannock,Male,2747,228
2020-10-22,"Central Virginia",Male,2067,94
2020-10-22,Alleghany,"Not Reported",9,0
2020-10-22,Henrico,Male,2836,236
2020-10-22,"Thomas Jefferson",Male,2015,111
2020-10-22,"Lord Fairfax",Male,1772,166
2020-10-22,"Three Rivers",Male,1172,71
2020-10-22,Richmond,"Not Reported",53,1
2020-10-22,Pittsylvania-Danville,Male,1061,68
2020-10-22,Portsmouth,"Not Reported",3,0
2020-10-22,Norfolk,"Not Reported",3,0
2020-10-22,Chesapeake,Male,2183,229
2020-10-22,Chickahominy,Female,1139,88
2020-10-22,"Prince William",Male,7995,660
2020-10-22,"Eastern Shore","Not Reported",9,0
2020-10-22,"Eastern Shore",Male,747,71
2020-10-22,"Rappahannock Rapidan",Male,1449,112
2020-10-22,Henrico,"Not Reported",40,0
2020-10-22,"Cumberland Plateau",Female,697,41
2020-10-22,"West Piedmont",Male,1206,136
2020-10-22,Hampton,"Not Reported",7,0
2020-10-22,Alexandria,"Not Reported",13,0
2020-10-22,"Western Tidewater","Not Reported",5,0
2020-10-22,"Cumberland Plateau","Not Reported",12,0
2020-10-22,"Virginia Beach",Male,3497,204
2020-10-22,Alleghany,Female,1330,54
2020-10-22,Lenowisco,Female,702,45
2020-10-22,"Virginia Beach","Not Reported",17,0
2020-10-22,"Western Tidewater",Female,2133,108
2020-10-22,"Mount Rogers",Male,1493,165
2020-10-22,"Lord Fairfax",Female,1980,151
2020-10-22,Piedmont,"Not Reported",5,0
2020-10-22,Alexandria,Male,1991,182
2020-10-22,Pittsylvania-Danville,"Not Reported",6,0
2020-10-22,"West Piedmont","Not Reported",14,0
2020-10-22,Loudoun,Female,3863,215
2020-10-22,Hampton,Female,1138,33
2020-10-22,Henrico,Female,3220,240
2020-10-22,"Prince William","Not Reported",127,2
2020-10-22,Chickahominy,Male,1092,95
2020-10-22,"Rappahannock Rapidan","Not Reported",40,0
2020-10-22,Peninsula,Female,2554,104
2020-10-22,Lenowisco,"Not Reported",3,0
2020-10-22,Crater,"Not Reported",50,3
2020-10-22,Chickahominy,"Not Reported",30,0
2020-10-22,Portsmouth,Male,1305,128
2020-10-22,"New River",Female,2051,30
2020-10-22,Rappahannock,Female,3157,197
2020-10-22,"Central Virginia",Female,2407,81
2020-10-22,Roanoke,"Not Reported",19,0
2020-10-22,"West Piedmont",Female,1562,150
2020-10-22,"Mount Rogers",Female,1986,135
2020-10-22,Piedmont,Male,1489,88
2020-10-22,Chesterfield,Female,3775,217
2020-10-22,Fairfax,Male,11218,1291
2020-10-22,Crater,Male,2843,136
2020-10-22,"Central Virginia","Not Reported",46,0
2020-10-22,"Prince William",Female,8374,512
2020-10-22,"Virginia Beach",Female,4165,222
2020-10-22,Norfolk,Female,2714,203
2020-10-22,"Three Rivers",Female,989,65
2020-10-22,Arlington,Male,2241,290
2020-10-22,"Central Shenandoah",Female,3490,149
2020-10-22,Southside,Female,837,43
2020-10-23,Southside,"Not Reported",10,0
2020-10-23,Chesapeake,Female,2625,242
2020-10-23,Richmond,Female,2613,224
2020-10-23,Roanoke,Male,1132,41
2020-10-23,Fairfax,"Not Reported",159,1
2020-10-23,"Thomas Jefferson",Female,2262,111
2020-10-23,Chesapeake,"Not Reported",5,0
2020-10-23,"Cumberland Plateau",Male,572,41
2020-10-23,"Eastern Shore",Female,765,73
2020-10-23,"Lord Fairfax","Not Reported",21,0
2020-10-23,Rappahannock,"Not Reported",20,0
2020-10-23,"Central Shenandoah","Not Reported",20,0
2020-10-23,Peninsula,Male,2403,114
2020-10-23,Norfolk,Male,2549,200
2020-10-23,Alexandria,Female,2164,144
2020-10-23,Lenowisco,Male,627,58
2020-10-23,Pittsylvania-Danville,Female,1335,109
2020-10-23,"New River","Not Reported",35,0
2020-10-23,Chesterfield,"Not Reported",153,0
2020-10-23,Loudoun,Male,3767,256
2020-10-23,"Rappahannock Rapidan",Female,1495,80
2020-10-23,Piedmont,Female,910,62
2020-10-23,Richmond,Male,2551,220
2020-10-23,Crater,Female,2020,160
2020-10-23,Portsmouth,Female,1473,171
2020-10-23,Arlington,"Not Reported",3,0
2020-10-23,"Mount Rogers","Not Reported",12,0
2020-10-23,"Thomas Jefferson","Not Reported",4,0
2020-10-23,"Three Rivers","Not Reported",26,0
2020-10-23,Hampton,Male,931,54
2020-10-23,Alleghany,Male,1095,56
2020-10-23,Roanoke,Female,1425,52
2020-10-23,Loudoun,"Not Reported",62,0
2020-10-23,Fairfax,Female,11922,960
2020-10-23,"Western Tidewater",Male,2371,122
2020-10-23,Peninsula,"Not Reported",19,0
2020-10-23,"New River",Male,2071,45
2020-10-23,"Central Shenandoah",Male,3078,143
2020-10-23,Southside,Male,897,47
2020-10-23,Chesterfield,Male,3518,231
2020-10-23,Arlington,Female,2229,236
2020-10-23,Rappahannock,Male,2761,228
2020-10-23,"Central Virginia",Male,2080,96
2020-10-23,Alleghany,"Not Reported",9,0
2020-10-23,Henrico,Male,2851,237
2020-10-23,"Thomas Jefferson",Male,2030,112
2020-10-23,"Lord Fairfax",Male,1794,168
2020-10-23,"Three Rivers",Male,1179,71
2020-10-23,Richmond,"Not Reported",54,1
2020-10-23,Pittsylvania-Danville,Male,1068,69
2020-10-23,Portsmouth,"Not Reported",3,0
2020-10-23,Norfolk,"Not Reported",3,0
2020-10-23,Chesapeake,Male,2193,230
2020-10-23,Chickahominy,Female,1143,88
2020-10-23,"Prince William",Male,8038,659
2020-10-23,"Eastern Shore","Not Reported",9,0
2020-10-23,"Eastern Shore",Male,748,72
2020-10-23,"Rappahannock Rapidan",Male,1458,113
2020-10-23,Henrico,"Not Reported",38,0
2020-10-23,"Cumberland Plateau",Female,709,41
2020-10-23,"West Piedmont",Male,1220,137
2020-10-23,Hampton,"Not Reported",7,0
2020-10-23,Alexandria,"Not Reported",13,0
2020-10-23,"Western Tidewater","Not Reported",5,0
2020-10-23,"Cumberland Plateau","Not Reported",17,0
2020-10-23,"Virginia Beach",Male,3516,206
2020-10-23,Alleghany,Female,1363,56
2020-10-23,Lenowisco,Female,713,45
2020-10-23,"Virginia Beach","Not Reported",17,0
2020-10-23,"Western Tidewater",Female,2150,111
2020-10-23,"Mount Rogers",Male,1516,165
2020-10-23,"Lord Fairfax",Female,1994,151
2020-10-23,Piedmont,"Not Reported",5,0
2020-10-23,Alexandria,Male,2002,182
2020-10-23,Pittsylvania-Danville,"Not Reported",6,0
2020-10-23,"West Piedmont","Not Reported",14,0
2020-10-23,Loudoun,Female,3875,215
2020-10-23,Hampton,Female,1141,33
2020-10-23,Henrico,Female,3247,241
2020-10-23,"Prince William","Not Reported",126,2
2020-10-23,Chickahominy,Male,1102,95
2020-10-23,"Rappahannock Rapidan","Not Reported",40,0
2020-10-23,Peninsula,Female,2563,104
2020-10-23,Lenowisco,"Not Reported",3,0
2020-10-23,Crater,"Not Reported",51,3
2020-10-23,Chickahominy,"Not Reported",30,0
2020-10-23,Portsmouth,Male,1317,130
2020-10-23,"New River",Female,2074,31
2020-10-23,Rappahannock,Female,3176,198
2020-10-23,"Central Virginia",Female,2432,81
2020-10-23,Roanoke,"Not Reported",21,0
2020-10-23,"West Piedmont",Female,1576,151
2020-10-23,"Mount Rogers",Female,2018,136
2020-10-23,Piedmont,Male,1498,88
2020-10-23,Chesterfield,Female,3790,220
2020-10-23,Fairfax,Male,11286,1294
2020-10-23,Crater,Male,2852,136
2020-10-23,"Central Virginia","Not Reported",48,0
2020-10-23,"Prince William",Female,8418,512
2020-10-23,"Virginia Beach",Female,4189,222
2020-10-23,Norfolk,Female,2730,205
2020-10-23,"Three Rivers",Female,999,65
2020-10-23,Arlington,Male,2256,295
2020-10-23,"Central Shenandoah",Female,3509,149
2020-10-23,Southside,Female,842,43
2020-10-24,Southside,"Not Reported",10,0
2020-10-24,Chesapeake,Female,2632,242
2020-10-24,Richmond,Female,2623,223
2020-10-24,Roanoke,Male,1146,42
2020-10-24,Fairfax,"Not Reported",159,1
2020-10-24,"Thomas Jefferson",Female,2281,117
2020-10-24,Chesapeake,"Not Reported",5,0
2020-10-24,"Cumberland Plateau",Male,580,41
2020-10-24,"Eastern Shore",Female,766,73
2020-10-24,"Lord Fairfax","Not Reported",22,0
2020-10-24,Rappahannock,"Not Reported",20,0
2020-10-24,"Central Shenandoah","Not Reported",22,0
2020-10-24,Peninsula,Male,2417,116
2020-10-24,Norfolk,Male,2564,200
2020-10-24,Alexandria,Female,2179,142
2020-10-24,Lenowisco,Male,650,59
2020-10-24,Pittsylvania-Danville,Female,1343,113
2020-10-24,"New River","Not Reported",35,0
2020-10-24,Chesterfield,"Not Reported",151,0
2020-10-24,Loudoun,Male,3780,259
2020-10-24,"Rappahannock Rapidan",Female,1502,80
2020-10-24,Piedmont,Female,928,62
2020-10-24,Richmond,Male,2558,225
