"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
2020-07-14,23602,164,3160
2020-07-14,23603,17,207
2020-07-14,23604,22,79
2020-07-14,23605,69,944
2020-07-14,23606,150,1808
2020-07-14,23607,87,1521
2020-07-14,23608,237,2967
2020-07-14,23651,Suppressed*,29
2020-07-14,23661,66,1143
2020-07-14,23662,23,763
2020-07-14,23663,37,794
2020-07-14,23664,20,592
2020-07-14,23665,8,106
2020-07-14,23666,252,3827
2020-07-14,23669,170,3334
2020-07-14,23690,5,210
2020-07-14,23691,0,13
2020-07-14,23692,47,1111
2020-07-14,23693,48,1096
2020-07-14,23696,Suppressed*,159
2020-07-14,23701,222,2567
2020-07-14,23702,83,851
2020-07-14,23703,167,2685
2020-07-14,23704,160,2052
2020-07-14,23707,101,1264
2020-07-14,23708,15,424
2020-07-14,23709,0,144
2020-07-14,23801,47,321
2020-07-14,23803,310,4011
2020-07-14,23805,170,3535
2020-07-14,23806,0,172
2020-07-14,23821,5,240
2020-07-14,23824,30,701
2020-07-14,23827,Suppressed*,120
2020-07-14,23828,Suppressed*,38
2020-07-14,23829,83,853
2020-07-14,23830,9,164
2020-07-14,23831,248,3521
2020-07-14,23832,395,4011
2020-07-14,23833,10,184
2020-07-14,23834,212,2852
2020-07-14,23836,87,1177
2020-07-14,23837,63,394
2020-07-14,23838,64,1305
2020-07-14,23839,5,76
2020-07-14,23840,12,166
2020-07-14,23841,26,392
2020-07-14,23842,29,564
2020-07-14,23843,Suppressed*,56
2020-07-14,23844,Suppressed*,65
2020-07-14,23845,Suppressed*,47
2020-07-14,23846,Suppressed*,66
2020-07-14,23847,431,1640
2020-07-14,23850,Suppressed*,106
2020-07-14,23851,80,2315
2020-07-14,23856,9,103
2020-07-14,23857,5,73
2020-07-14,23860,311,4006
2020-07-14,23866,13,220
2020-07-14,23867,48,253
2020-07-14,23868,98,2335
2020-07-14,23872,9,185
2020-07-14,23874,Suppressed*,120
2020-07-14,23875,59,1070
2020-07-14,23876,0,17
2020-07-14,23878,5,112
2020-07-14,23879,12,56
2020-07-14,23881,5,140
2020-07-14,23882,15,168
2020-07-14,23883,6,153
2020-07-14,23884,Suppressed*,7
2020-07-14,23885,6,223
2020-07-14,23887,Suppressed*,34
2020-07-14,23888,19,201
2020-07-14,23889,5,75
2020-07-14,23890,96,414
2020-07-14,23891,66,1697
2020-07-14,23893,Suppressed*,39
2020-07-14,23894,Suppressed*,59
2020-07-14,23897,Suppressed*,42
2020-07-14,23898,16,185
2020-07-14,23899,Suppressed*,33
2020-07-14,23901,170,1782
2020-07-14,23909,0,Suppressed*
2020-07-14,23915,5,514
2020-07-14,23917,13,329
2020-07-14,23919,5,282
2020-07-14,23920,9,338
2020-07-14,23921,10,202
2020-07-14,23922,66,2153
2020-07-14,23923,10,197
2020-07-14,23924,98,773
2020-07-14,23927,68,499
2020-07-14,23930,33,567
2020-07-14,23934,5,71
2020-07-14,23936,513,2094
2020-07-14,23937,7,190
2020-07-14,23938,Suppressed*,57
2020-07-14,23942,19,139
2020-07-14,23943,0,6
2020-07-14,23944,12,495
2020-07-14,23947,10,377
2020-07-14,23950,18,364
2020-07-14,23952,Suppressed*,33
2020-07-14,23954,Suppressed*,213
2020-07-14,23958,22,287
2020-07-14,23959,0,77
2020-07-14,23960,33,232
2020-07-14,23962,Suppressed*,67
2020-07-14,23963,0,21
2020-07-14,23964,Suppressed*,102
2020-07-14,23966,15,246
2020-07-14,23967,Suppressed*,82
2020-07-14,23968,Suppressed*,80
2020-07-14,23970,37,939
2020-07-14,23974,14,567
2020-07-14,23976,Suppressed*,35
2020-07-14,24011,0,20336
2020-07-14,24012,295,1821
2020-07-14,24013,28,280
2020-07-14,24014,96,792
2020-07-14,24015,63,707
2020-07-14,24016,36,622
2020-07-14,24017,116,1878
2020-07-14,24018,102,1503
2020-07-14,24019,141,1303
2020-07-14,24020,0,Suppressed*
2020-07-14,24053,5,103
2020-07-14,24054,62,418
2020-07-14,24055,75,812
2020-07-14,24058,0,15
2020-07-14,24059,0,28
2020-07-14,24060,96,1516
2020-07-14,24064,6,157
2020-07-14,24065,7,155
2020-07-14,24066,6,109
2020-07-14,24067,Suppressed*,55
2020-07-14,24069,10,132
2020-07-14,24070,Suppressed*,60
2020-07-14,24072,Suppressed*,35
2020-07-14,24073,76,2434
2020-07-14,24076,Suppressed*,54
2020-07-14,24077,5,44
2020-07-14,24078,73,526
2020-07-14,24079,Suppressed*,51
2020-07-14,24082,0,15
2020-07-14,24083,55,406
2020-07-14,24084,21,549
2020-07-14,24085,12,85
2020-07-14,24086,0,Suppressed*
2020-07-14,24087,12,159
2020-07-14,24088,7,96
2020-07-14,24089,10,132
2020-07-14,24090,19,166
2020-07-14,24091,16,200
2020-07-14,24092,6,86
2020-07-14,24093,0,9
2020-07-14,24095,8,124
2020-07-14,24101,11,171
2020-07-14,24102,Suppressed*,48
2020-07-14,24104,7,210
2020-07-14,24105,Suppressed*,9
2020-07-14,24112,224,3096
2020-07-14,24120,6,62
2020-07-14,24121,11,480
2020-07-14,24122,5,58
2020-07-14,24124,Suppressed*,183
2020-07-14,24127,8,209
2020-07-14,24128,8,61
2020-07-14,24131,0,7
2020-07-14,24132,0,15
2020-07-14,24133,5,124
2020-07-14,24134,Suppressed*,353
2020-07-14,24136,0,102
2020-07-14,24137,8,86
2020-07-14,24138,Suppressed*,51
2020-07-14,24139,9,55
2020-07-14,24141,24,593
2020-07-14,24142,0,11
2020-07-14,24147,Suppressed*,40
2020-07-14,24148,35,430
2020-07-14,24149,5,111
2020-07-14,24150,Suppressed*,15
2020-07-14,24151,48,979
2020-07-14,24153,159,5368
2020-07-14,24161,0,19
2020-07-14,24162,9,101
2020-07-14,24165,9,91
2020-07-14,24167,Suppressed*,12
2020-07-14,24168,5,48
2020-07-14,24171,35,338
2020-07-14,24174,Suppressed*,140
2020-07-14,24175,30,261
2020-07-14,24176,7,55
2020-07-14,24179,65,777
2020-07-14,24184,13,114
2020-07-14,24185,0,33
2020-07-14,24201,15,946
2020-07-14,24202,15,510
2020-07-14,24210,34,823
2020-07-14,24211,15,916
2020-07-14,24216,10,163
2020-07-14,24217,0,8
2020-07-14,24219,17,768
2020-07-14,24220,Suppressed*,26
2020-07-14,24221,Suppressed*,18
2020-07-14,24224,7,159
2020-07-14,24225,0,53
2020-07-14,24226,0,58
2020-07-14,24228,Suppressed*,411
2020-07-14,24230,8,244
2020-07-14,24236,10,84
2020-07-14,24237,0,19
2020-07-14,24239,0,15
2020-07-14,24243,0,122
2020-07-14,24244,7,375
2020-07-14,24245,0,49
2020-07-14,24246,0,16
2020-07-14,24248,6,120
2020-07-14,24250,0,35
2020-07-14,24251,8,375
2020-07-14,24256,Suppressed*,92
2020-07-14,24258,0,49
2020-07-14,24260,Suppressed*,172
2020-07-14,24263,Suppressed*,419
2020-07-14,24265,0,30
2020-07-14,24266,12,374
2020-07-14,24269,0,9
2020-07-14,24270,Suppressed*,17
2020-07-14,24271,0,110
2020-07-14,24272,0,12
2020-07-14,24273,6,526
2020-07-14,24277,6,577
2020-07-14,24279,5,117
2020-07-14,24280,Suppressed*,25
2020-07-14,24281,Suppressed*,105
2020-07-14,24282,Suppressed*,39
2020-07-14,24283,0,87
2020-07-14,24290,0,75
2020-07-14,24292,0,21
2020-07-14,24293,5,442
2020-07-14,24301,21,821
2020-07-14,24311,0,82
2020-07-14,24312,Suppressed*,107
2020-07-14,24313,7,51
2020-07-14,24314,0,176
2020-07-14,24315,Suppressed*,828
2020-07-14,24316,0,Suppressed*
2020-07-14,24317,17,244
2020-07-14,24318,Suppressed*,35
2020-07-14,24319,10,253
2020-07-14,24322,0,8
2020-07-14,24323,Suppressed*,32
2020-07-14,24324,5,92
2020-07-14,24325,Suppressed*,36
2020-07-14,24326,7,67
2020-07-14,24328,16,108
2020-07-14,24330,41,273
2020-07-14,24333,376,1781
2020-07-14,24340,9,185
2020-07-14,24343,110,634
2020-07-14,24347,5,73
2020-07-14,24348,13,1294
2020-07-14,24350,Suppressed*,53
2020-07-14,24351,Suppressed*,24
2020-07-14,24352,5,117
2020-07-14,24354,27,1147
2020-07-14,24360,13,335
2020-07-14,24361,Suppressed*,171
2020-07-14,24363,Suppressed*,50
2020-07-14,24366,Suppressed*,69
2020-07-14,24368,8,388
2020-07-14,24370,5,214
2020-07-14,24374,Suppressed*,43
2020-07-14,24375,0,60
2020-07-14,24377,0,8
2020-07-14,24378,Suppressed*,63
2020-07-14,24380,Suppressed*,58
2020-07-14,24381,31,205
2020-07-14,24382,26,1101
2020-07-14,24401,117,2820
2020-07-14,24411,0,Suppressed*
2020-07-14,24412,0,Suppressed*
2020-07-14,24413,0,8
2020-07-14,24415,0,Suppressed*
2020-07-14,24416,21,409
2020-07-14,24421,7,195
2020-07-14,24422,17,529
2020-07-14,24426,32,871
2020-07-14,24430,Suppressed*,140
2020-07-14,24431,10,189
2020-07-14,24432,Suppressed*,19
2020-07-14,24433,0,Suppressed*
2020-07-14,24435,6,90
2020-07-14,24437,0,68
2020-07-14,24439,Suppressed*,71
2020-07-14,24440,8,132
2020-07-14,24441,53,515
2020-07-14,24442,0,8
2020-07-14,24445,Suppressed*,80
2020-07-14,24448,Suppressed*,35
2020-07-14,24450,30,1258
2020-07-14,24457,Suppressed*,66
2020-07-14,24458,Suppressed*,21
2020-07-14,24459,6,39
2020-07-14,24460,0,65
2020-07-14,24464,0,6
2020-07-14,24465,Suppressed*,61
2020-07-14,24467,9,128
2020-07-14,24471,11,121
2020-07-14,24472,Suppressed*,141
2020-07-14,24473,0,38
2020-07-14,24474,Suppressed*,27
2020-07-14,24476,Suppressed*,30
2020-07-14,24477,41,689
2020-07-14,24479,Suppressed*,87
2020-07-14,24482,15,292
2020-07-14,24483,Suppressed*,29
2020-07-14,24484,0,16
2020-07-14,24485,Suppressed*,25
2020-07-14,24486,32,277
2020-07-14,24487,0,11
2020-07-14,24501,47,2141
2020-07-14,24502,84,2883
2020-07-14,24503,58,1632
2020-07-14,24504,13,660
2020-07-14,24517,13,451
2020-07-14,24520,5,134
2020-07-14,24521,8,707
2020-07-14,24522,30,687
2020-07-14,24523,53,2195
2020-07-14,24526,Suppressed*,115
2020-07-14,24527,9,175
2020-07-14,24528,6,189
2020-07-14,24529,5,127
2020-07-14,24530,Suppressed*,74
2020-07-14,24531,22,1517
2020-07-14,24534,5,105
2020-07-14,24536,0,11
2020-07-14,24538,6,280
2020-07-14,24539,0,19
2020-07-14,24540,91,2320
2020-07-14,24541,74,1863
2020-07-14,24549,12,240
2020-07-14,24550,19,482
2020-07-14,24551,54,1510
2020-07-14,24553,Suppressed*,131
2020-07-14,24554,Suppressed*,230
2020-07-14,24555,Suppressed*,84
2020-07-14,24556,5,275
2020-07-14,24557,35,496
2020-07-14,24558,17,460
2020-07-14,24562,Suppressed*,43
2020-07-14,24563,11,363
2020-07-14,24565,Suppressed*,76
2020-07-14,24566,7,76
2020-07-14,24569,0,54
2020-07-14,24571,Suppressed*,108
2020-07-14,24572,23,1037
2020-07-14,24574,5,196
2020-07-14,24577,17,293
2020-07-14,24578,Suppressed*,29
2020-07-14,24579,Suppressed*,36
2020-07-14,24580,5,46
2020-07-14,24586,9,321
2020-07-14,24588,13,610
2020-07-14,24589,Suppressed*,146
2020-07-14,24590,30,673
2020-07-14,24592,35,1158
2020-07-14,24593,7,117
2020-07-14,24594,Suppressed*,91
2020-07-14,24595,0,12
2020-07-14,24597,Suppressed*,86
2020-07-14,24598,6,104
2020-07-14,24599,Suppressed*,58
2020-07-14,24601,0,Suppressed*
2020-07-14,24602,0,23
2020-07-14,24603,13,59
2020-07-14,24604,0,Suppressed*
2020-07-14,24605,10,861
2020-07-14,24606,0,7
2020-07-14,24607,0,Suppressed*
2020-07-14,24609,7,240
2020-07-14,24612,0,14
2020-07-14,24613,Suppressed*,66
2020-07-14,24614,19,457
2020-07-14,24620,5,52
2020-07-14,24622,0,35
2020-07-14,24628,0,12
2020-07-14,24630,0,262
