"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
7/18/2020,24477,44,758
7/18/2020,24479,Suppressed*,93
7/18/2020,24482,18,332
7/18/2020,24483,Suppressed*,30
7/18/2020,24484,0,24
7/18/2020,24485,Suppressed*,27
7/18/2020,24486,33,289
7/18/2020,24487,0,11
7/18/2020,24501,52,2275
7/18/2020,24502,103,3102
7/18/2020,24503,66,1732
7/18/2020,24504,14,700
7/18/2020,24517,15,473
7/18/2020,24520,6,147
7/18/2020,24521,9,749
7/18/2020,24522,31,725
7/18/2020,24523,54,2374
7/18/2020,24526,Suppressed*,119
7/18/2020,24527,10,184
7/18/2020,24528,6,196
7/18/2020,24529,5,134
7/18/2020,24530,6,76
7/18/2020,24531,26,1542
7/18/2020,24534,6,118
7/18/2020,24536,0,12
7/18/2020,24538,7,297
7/18/2020,24539,0,20
7/18/2020,24540,109,2438
7/18/2020,24541,89,1983
7/18/2020,24549,15,256
7/18/2020,24550,18,509
7/18/2020,24551,61,1623
7/18/2020,24553,Suppressed*,135
7/18/2020,24554,Suppressed*,243
7/18/2020,24555,6,90
7/18/2020,24556,5,284
7/18/2020,24557,42,558
7/18/2020,24558,18,503
7/18/2020,24562,Suppressed*,47
7/18/2020,24563,17,389
7/18/2020,24565,Suppressed*,84
7/18/2020,24566,10,80
7/18/2020,24569,0,60
7/18/2020,24571,Suppressed*,116
7/18/2020,24572,30,1093
7/18/2020,24574,5,209
7/18/2020,24577,20,327
7/18/2020,24578,Suppressed*,31
7/18/2020,24579,6,39
7/18/2020,24580,6,48
7/18/2020,24586,9,335
7/18/2020,24588,13,647
7/18/2020,24589,Suppressed*,164
7/18/2020,24590,31,716
7/18/2020,24592,37,1218
7/18/2020,24593,7,121
7/18/2020,24594,Suppressed*,96
7/18/2020,24595,0,13
7/18/2020,24597,Suppressed*,91
7/18/2020,24598,6,120
7/18/2020,24599,Suppressed*,60
7/18/2020,24601,0,Suppressed*
7/18/2020,24602,0,26
7/18/2020,24603,13,61
7/18/2020,24604,0,Suppressed*
7/18/2020,24605,10,945
7/18/2020,24606,0,8
7/18/2020,24607,0,5
7/18/2020,24609,8,257
7/18/2020,24612,0,14
7/18/2020,24613,Suppressed*,69
